,avg_temperature,max_temperature,min_temperature,total_precipitation,avg_humidity,avg_pressure,avg_wind_speed,max_wind_speed,avg_cloud_cover,avg_temp_humidity_index,avg_wind_chill_index
avg_temperature,1.0,0.958219379640828,0.9572113197736942,0.05690192167193258,0.06128135881180165,-0.7880993680227723,0.010345766429694484,0.12111742356093044,0.05074010470407712,0.9933286216709178,0.9959885991341314
max_temperature,0.958219379640828,1.0,0.8553974556999326,-0.021639782040969086,-0.10015850495163758,-0.7178759704790245,-0.049303738949613686,0.08119060081993935,-0.07718592224571684,0.9334734647886038,0.959678127816534
min_temperature,0.9572113197736942,0.8553974556999326,1.0,0.15974985749365495,0.25580759526716973,-0.7905939759451186,0.057371782260782045,0.15802553700693167,0.191839254557601,0.9736013092234271,0.9491231135366399
total_precipitation,0.05690192167193258,-0.021639782040969086,0.15974985749365495,1.0,0.4145229532833153,-0.2519117351866228,0.19470123691024152,0.2720747751422386,0.3276037300453981,0.10402011525390846,0.039287262828975086
avg_humidity,0.06128135881180165,-0.10015850495163758,0.25580759526716973,0.4145229532833153,1.0,-0.2883628410363702,-0.051678007534330835,-0.014767813040356128,0.3945441755824165,0.17596920633923355,0.06569684347359193
avg_pressure,-0.7880993680227723,-0.7178759704790245,-0.7905939759451186,-0.2519117351866228,-0.2883628410363702,1.0,-0.03735930812829505,-0.12655877687099026,-0.19382296457540865,-0.8105824237135331,-0.7823195137951469
avg_wind_speed,0.010345766429694484,-0.049303738949613686,0.057371782260782045,0.19470123691024152,-0.051678007534330835,-0.03735930812829505,1.0,0.844228759298752,0.04201968220028892,0.004281121140396099,-0.0791649313993643
max_wind_speed,0.12111742356093044,0.08119060081993935,0.15802553700693167,0.2720747751422386,-0.014767813040356128,-0.12655877687099026,0.844228759298752,1.0,0.04566959744776629,0.11779514965221644,0.04521086273080612
avg_cloud_cover,0.05074010470407712,-0.07718592224571684,0.191839254557601,0.3276037300453981,0.3945441755824165,-0.19382296457540865,0.04201968220028892,0.04566959744776629,1.0,0.09560325619665748,0.0467895819073382
avg_temp_humidity_index,0.9933286216709178,0.9334734647886038,0.9736013092234271,0.10402011525390846,0.17596920633923355,-0.8105824237135331,0.004281121140396099,0.11779514965221644,0.09560325619665748,1.0,0.9898787581057146
avg_wind_chill_index,0.9959885991341314,0.959678127816534,0.9491231135366399,0.039287262828975086,0.06569684347359193,-0.7823195137951469,-0.0791649313993643,0.04521086273080612,0.0467895819073382,0.9898787581057146,1.0
